	title	page_length	last_touched	lastrevid	geneid	proteinID	wikilink	counts	pubcount	median_pub_year	max_pub_year	priority_score
8776	DVL2	9380	2022-03-11T23:05:00Z	1040797269	1856	Q21110821	https://en.wikipedia.org/wiki/DVL2	1	172	2014	2022	1.1275266524520255
5551	RIPK3	5970	2022-03-11T23:05:06Z	1044562317	11035	Q21111738	https://en.wikipedia.org/wiki/RIPK3	1	172	2016	2021	1.7364704474754726
8149	TLR6	8640	2022-03-19T20:55:01Z	1045854456	10333	Q4459745	https://en.wikipedia.org/wiki/TLR6	1	172	2010	2022	1.2188359788359788
8567	TUBA1C	9119	2022-03-11T23:05:01Z	1045682916	84790	Q21135789	https://en.wikipedia.org/wiki/TUBA1C	1	172	2016	2022	1.1580400419845533
8556	ACVR1	9105	2022-03-11T22:53:05Z	1039378276	90	Q4650904	https://en.wikipedia.org/wiki/ACVR1	1	172	2011	2021	1.1597262100886483
8777	DVL2	9380	2022-03-11T23:05:00Z	1040797269	1856	Q21151219	https://en.wikipedia.org/wiki/DVL2	1	172	2014	2022	1.1275266524520255
8555	ACVR1	9105	2022-03-11T22:53:05Z	1039378276	90	Q21137834	https://en.wikipedia.org/wiki/ACVR1	1	172	2011	2021	1.1597262100886483
7269	COPB1	7714	2022-03-11T23:04:11Z	1040141455	1315	Q21173208	https://en.wikipedia.org/wiki/COPB1	1	172	2014	2022	1.3577728804770546
8444	INHA	8989	2022-03-11T23:04:33Z	1042047906	3623	Q21114698	https://en.wikipedia.org/wiki/INHA	1	172	2008	2021	1.1738993690701334
9147	MKL1	9931	2022-03-11T23:05:01Z	1043225510	57591	Q21120035	https://en.wikipedia.org/wiki/MKL1	1	171	2015	2022	1.0680193693628897
7655	AZGP1	8124	2022-03-11T23:04:56Z	1040188833	563	Q21136515	https://en.wikipedia.org/wiki/AZGP1	1	171	2013	2022	1.2919921572765
8674	CLIC1	9275	2022-03-11T23:04:56Z	1039563856	1192	Q21109779	https://en.wikipedia.org/wiki/CLIC1	1	170	2014	2022	1.1388814016172506
5414	AQP5	5849	2022-03-11T23:05:05Z	1039396934	362	Q21106470	https://en.wikipedia.org/wiki/AQP5	1	170	2012	2021	1.77040825049459
7802	RRM2	8250	2022-03-20T16:25:59Z	1044576654	6241	Q21108338	https://en.wikipedia.org/wiki/RRM2	1	170	2015	2022	1.2728354978354979
6996	RECK	7462	2022-03-11T23:05:01Z	1044552562	8434	Q21112326	https://en.wikipedia.org/wiki/RECK	1	170	2013	2021	1.4008375770570893
8704	GANAB	9300	2022-03-11T23:05:01Z	1041371083	23193	Q21110310	https://en.wikipedia.org/wiki/GANAB	1	170	2014	2022	1.1359831029185867
6995	RECK	7462	2022-03-11T23:05:01Z	1044552562	8434	Q21100716	https://en.wikipedia.org/wiki/RECK	1	170	2013	2021	1.4008375770570893
8705	GANAB	9300	2022-03-11T23:05:01Z	1041371083	23193	Q21151022	https://en.wikipedia.org/wiki/GANAB	1	170	2014	2022	1.1359831029185867
7904	IPO7	8393	2022-03-11T23:05:02Z	1042050066	10527	Q21114728	https://en.wikipedia.org/wiki/IPO7	1	170	2015	2021	1.252183367091624
7513	NOL5A	7957	2022-03-11T23:05:00Z	1043638068	10528	Q21133316	https://en.wikipedia.org/wiki/NOL5A	1	169	2017	2022	1.317112201296253
7514	NOL5A	7957	2022-03-11T23:05:00Z	1043638068	10528	Q21142413	https://en.wikipedia.org/wiki/NOL5A	1	169	2017	2022	1.317112201296253
6356	SFRS6	6762	2022-03-11T23:04:57Z	1044805599	6431	Q21157677	https://en.wikipedia.org/wiki/SFRS6	1	169	2015	2021	1.539209553386572
9010	SPOP	9698	2022-03-11T23:04:57Z	1060583843	8405	Q21173687	https://en.wikipedia.org/wiki/SPOP	1	169	2017	2022	1.0914975841852517
9009	SPOP	9698	2022-03-11T23:04:57Z	1060583843	8405	Q21149833	https://en.wikipedia.org/wiki/SPOP	1	169	2017	2022	1.0914975841852517
7530	USP10	7977	2022-03-11T23:05:02Z	1053228438	9100	Q21106115	https://en.wikipedia.org/wiki/USP10	1	168	2018	2022	1.3136041118214867
6776	HIST2H2AC	7244	2022-03-11T23:04:57Z	1041623465	8338	Q21110984	https://en.wikipedia.org/wiki/HIST2H2AC	1	168	2010	2021	1.4404527885146328
8542	MAP4	9088	2022-03-11T23:04:12Z	1043208696	4134	Q21150774	https://en.wikipedia.org/wiki/MAP4	1	167	2015	2021	1.1599949698189134
7170	CLDN4	7623	2022-03-11T23:04:12Z	1074256050	1364	Q21100766	https://en.wikipedia.org/wiki/CLDN4	1	167	2011	2021	1.3714623507805326
8222	HIST2H3C	8734	2022-03-11T23:04:56Z	1032049954	126961	Q21115552	https://en.wikipedia.org/wiki/HIST2H3C	1	167	2011	2021	1.2045936242598712
8541	MAP4	9088	2022-03-11T23:04:12Z	1043208696	4134	Q21130459	https://en.wikipedia.org/wiki/MAP4	1	167	2015	2021	1.1599949698189134
8331	MST1R	8867	2022-03-11T23:04:56Z	1043236440	4486	Q21124307	https://en.wikipedia.org/wiki/MST1R	1	166	2011	2021	1.1870628655206303
8332	MST1R	8867	2022-03-11T23:04:56Z	1043236440	4486	Q21151211	https://en.wikipedia.org/wiki/MST1R	1	166	2011	2021	1.1870628655206303
8277	GDF5	8778	2022-03-11T22:58:54Z	1042175794	8200	Q5513078	https://en.wikipedia.org/wiki/GDF5	1	166	2011	2022	1.1984973798131693
9013	RNF213	9702	2022-03-11T23:26:40Z	1044570904	57674	Q21127044	https://en.wikipedia.org/wiki/RNF213	1	166	2017	2022	1.0900010307153165
9113	HNRNPAB	9855	2022-03-11T23:04:59Z	1062697351	3182	Q21133239	https://en.wikipedia.org/wiki/HNRNPAB	1	165	2015	2021	1.0736419149090382
5899	BCLAF1	6316	2022-03-11T23:05:06Z	1075865541	9774	Q21113908	https://en.wikipedia.org/wiki/BCLAF1	1	165	2016	2021	1.6422091287433276
5900	BCLAF1	6316	2022-03-11T23:05:06Z	1075865541	9774	Q21139717	https://en.wikipedia.org/wiki/BCLAF1	1	165	2016	2021	1.6422091287433276
7610	LOXL1	8069	2022-03-11T23:05:06Z	1032042595	4016	Q21107915	https://en.wikipedia.org/wiki/LOXL1	1	165	2012	2021	1.2982395145441992
7206	HIST2H4A	7649	2022-03-16T03:53:57Z	1041623700	8370	Q22676641	https://en.wikipedia.org/wiki/HIST2H4A	1	165	2010	2021	1.366289010701679
8664	KPNA3	9249	2022-03-11T23:04:09Z	1056708546	3839	Q21114042	https://en.wikipedia.org/wiki/KPNA3	1	164	2012	2021	1.1397693959192499
