	QID	label	geneID	proteinID
1333	Q18028368	KRTAP5-9	3846	Q21115159
1336	Q18028404	KRT82	3888	Q21119255
1339	Q18028510	LDHC	3948	Q21119929
1348	Q18028612	PRICKLE3	4007	Q21104712
1360	Q18036707	VWA8	23078	Q21125673
1362	Q18036713	TRIM35	23087	Q21124684
1364	Q18036718	TTLL5	23093	Q21135835
1366	Q18036719	SIPA1L3	23094	Q21136016
1368	Q18036722	CDK19	23097	Q21156191
1373	Q18039664	TFCP2L1	29842	Q21122194
1378	Q18039668	ALG5	29880	Q22679917
1381	Q18039676	RBM15B	29890	Q21119563
1385	Q18034642	PHACTR2	9749	Q21173198
1393	Q18034653	MLEC	9761	Q21133374
1399	Q18034656	SUSD6	9766	Q21106631
1401	Q18034664	TM9SF4	9777	Q21135088
1409	Q18034673	KIAA0586	9786	Q21122844
1411	Q18034676	SPCS2	9789	Q21174203
1413	Q18034677	BMS1	9790	Q21130719
1415	Q18034679	SERTAD2	9792	Q21125270
1417	Q18034683	TATDN2	9797	Q21122174
1420	Q18033129	LY6D	8581	Q21119947
1424	Q18045677	ACTR6	64431	Q21108217
1425	Q18045686	TEKT3	64518	Q21111842
1427	Q18045688	NDST4	64579	Q21123064
1428	Q18045691	TSPY2	64591	Q21208084
1430	Q18045696	GIGYF1	64599	Q21126807
1432	Q18045697	PLA2G2F	64600	Q21121066
1434	Q18045698	VPS16	64601	Q21125670
1436	Q18045699	EBF2	64641	Q21115681
1440	Q18045574	DUS1L	64118	Q21107185
1448	Q18045593	NECAB1	64168	Q21124827
1450	Q18045595	OSGEPL1	64172	Q21121794
1452	Q18045597	P3H1	64175	Q21121809
1454	Q18045599	EDDM3B	64184	Q21110168
1456	Q18045603	LHX5	64211	Q21118656
1466	Q18045617	ATL2	64225	Q21116756
1474	Q18045620	MS4A5	64232	Q21118798
1476	Q18045625	TENT4B	64282	Q21123721
1478	Q18045626	ARHGEF28	64283	Q21110445
1484	Q18045630	NOC3L	64318	Q21124864
1488	Q18045640	HS1BP3	64342	Q21119052
1490	Q18045643	NXN	64359	Q21174036
1492	Q18045646	IKZF5	64376	Q21120656
1496	Q18045649	GREM2	64388	Q21115974
1498	Q18045650	ZMAT3	64393	Q21111274
1500	Q18045657	CDH24	64403	Q21111813
1502	Q18045658	CDH22	64405	Q21111849
1504	Q18045664	TMEM267	64417	Q21117156
1506	Q18045665	TMEM168	64418	Q21134340
1512	Q18045673	TTC31	64427	Q21123497
1514	Q18045675	ZDHHC6	64429	Q21124768
1517	Q18045445	MIIP	60672	Q21119451
1519	Q18045453	PROK2	60675	Q21123790
1521	Q18045460	EEFSEC	60678	Q21135499
1523	Q18045461	CELF5	60680	Q21117193
1525	Q18045465	ZFAND3	60685	Q21124769
1527	Q18045467	SLC22A23	63027	Q21108815
1529	Q18045468	BCORL1	63035	Q21113886
1533	Q18045478	FAM204A	63877	Q21110270
1539	Q18045486	NSUN3	63899	Q21123171
1540	Q18045488	DUSP21	63904	Q21107218
1541	Q18045489	MANBAL	63905	Q21107935
1543	Q18045491	GPATCH3	63906	Q21119004
1545	Q18045498	ZBED8	63920	Q21123017
1547	Q18045500	TNN	63923	Q21135085
1549	Q18045501	CIDEC	63924	Q21132788
1551	Q18045502	ZNF335	63925	Q21136862
1553	Q18045503	ANKEF1	63926	Q21109450
1555	Q18045504	CHP2	63928	Q21111928
1557	Q18045506	MRPS14	63931	Q21125104
1558	Q18045507	STEEP1	63932	Q21107093
1560	Q18045508	MCUR1	63933	Q21173797
1566	Q18045510	PCIF1	63935	Q21121090
1568	Q18045511	FAM217B	63939	Q21106089
1570	Q18045512	GPSM3	63940	Q21106188
1576	Q18045518	DMRTC1	63947	Q22677126
1582	Q18045520	DMRTA2	63950	Q21117513
1584	Q18045521	DMRTA1	63951	Q21117507
1586	Q18045526	NEUROD6	63974	Q21118838
1590	Q18045530	FIGNL1	63979	Q21114505
1592	Q18045540	OXCT2	64064	Q21135437
1593	Q18045547	SLC28A3	64078	Q21126278
1595	Q18045548	PBLD	64081	Q21116981
1597	Q18045550	CLSTN2	64084	Q21117398
1603	Q18045552	SNX16	64089	Q21125233
1605	Q18045556	SMOC1	64093	Q21108752
1611	Q18045561	ELSPBP1	64100	Q21107306
1613	Q18045566	RTP4	64108	Q21125122
1615	Q18045568	MAGEF1	64110	Q21107970
1617	Q18040904	TSPEAR	54084	Q21122900
1621	Q18040992	SIAE	54414	Q22676719
1631	Q18041002	GFOD1	54438	Q21101321
1633	Q18041003	RBM27	54439	Q21125056
1635	Q18041004	SASH3	54440	Q21123863
1637	Q18041007	KCTD5	54442	Q21118588
1639	Q18041009	RIN2	54453	Q21134208
1645	Q18041011	FBXO42	54455	Q21101345
1647	Q18041012	MOV10L1	54456	Q21119373
1649	Q18041017	CCSER2	54462	Q21117080
1655	Q18041021	ETAA1	54465	Q21110201
1657	Q18041023	SPIN2A	54466	Q21121430
1669	Q18041035	PIMREG	54478	Q21112558
1673	Q18041040	UGT2B28	54490	Q21135176
1674	Q18041041	OTULINL	54491	Q21114464
1675	Q18041042	NEURL1B	54492	Q21124837
1677	Q18041043	C11orf71	54494	Q21110635
1679	Q18041047	HEATR5B	54497	Q21130437
1681	Q18041052	ZDHHC13	54503	Q21124749
1686	Q18041060	HMGCLL1	54511	Q21118311
1694	Q18041070	ANKRD16	54522	Q21105182
1704	Q18041075	MRPL50	54534	Q21120541
1705	Q18041080	SHLD2	54537	Q21106067
1711	Q18041086	RC3H2	54542	Q21122667
1713	Q18041087	TOMM7	54543	Q21135104
1715	Q18041088	CRCT1	54544	Q21105391
1717	Q18041091	RNF186	54546	Q21135036
1719	Q18041094	MAGEL2	54551	Q21107979
1721	Q18041097	WDR5B	54554	Q21136594
1727	Q18041101	SGTB	54557	Q21118142
1729	Q18041102	SPATA6	54558	Q21123895
1731	Q18041103	EPB41L4B	54566	Q21110064
1733	Q18041133	INO80	54617	Q21108221
1735	Q18041134	CCNJ	54619	Q21108347
1741	Q18041136	VSIG10	54621	Q21208112
1743	Q18041138	PAF1	54623	Q21117097
1745	Q18041141	MAP10	54627	Q21133371
1747	Q18041162	TBC1D13	54662	Q21123476
1753	Q18041175	RSBN1	54665	Q21202197
1755	Q18041187	CRLS1	54675	Q21102535
1756	Q18041200	ZNHIT6	54680	Q21116863
1762	Q18041207	GPN2	54707	Q21131510
1764	Q18041216	TMED9	54732	Q21120494
1766	Q18041217	SLC35F2	54733	Q21121281
1768	Q18041218	RAB39A	54734	Q21112814
1770	Q18041220	FEV	54738	Q21106111
1772	Q18041222	LEPROT	54741	Q21133404
1774	Q18041224	LY6K	54742	Q21119948
1776	Q18041226	EPDR1	54749	Q21110190
1778	Q18034003	ZNHIT3	9326	Q21119614
1794	Q18034058	TGFBRAP1	9392	Q21159922
1796	Q18034059	HS6ST1	9394	Q21107556
1801	Q18034084	CDYL	9425	Q21204412
1803	Q18034085	CDY2A	9426	Q21117173
1804	Q18034205	LY86	9450	Q21173793
1806	Q18034308	CHST3	9469	Q5104531
1807	Q18034318	ONECUT2	9480	Q21119627
1815	Q18034334	XAGE2	9502	Q21114630
1817	Q18034335	PAGE4	9506	Q21121818
1823	Q18034359	ZNF254	9534	Q21174438
1825	Q18034360	GMFG	9535	Q21114621
1831	Q18034378	ATP5MJ	9556	Q21150365
1833	Q18034410	PDIA4	9601	Q21123211
1835	Q18034414	CARTPT	9607	Q21112934
1839	Q18034518	TESMIN	9633	Q21133383
1847	Q18034537	PLCH2	9651	Q6055405
1852	Q18034562	LPIN2	9663	Q21119316
1854	Q18034565	ZNF432	9668	Q21174083
1860	Q18034571	SLC25A44	9673	Q21121340
1862	Q18034572	KIAA0040	9674	Q21113450
1864	Q18034573	TTI1	9675	Q21106532
1870	Q18034575	PHF14	9678	Q21133047
1872	Q18034576	FAM53B	9679	Q21118115
1874	Q18034579	N4BP1	9683	Q21132743
1879	Q18039900	MTERF3	51001	Q21106492
1881	Q18039901	TPRKB	51002	Q21122588
1889	Q18039915	PRELID3B	51012	Q21979028
1891	Q18039917	TMED7	51014	Q21125348
1893	Q18039919	ISOC1	51015	Q21111828
1895	Q18039923	HDDC2	51020	Q21113367
1897	Q18039926	MRPS18C	51023	Q21125117
1898	Q18039931	BOLA1	51027	Q21111733
1904	Q18039937	UBXN1	51035	Q21127393
1906	Q18039940	ST8SIA3	51046	Q21136015
1907	Q18039944	LAP3	51056	Q21097384
1909	Q18039946	ZNF691	51058	Q21174382
1911	Q18039950	TXNDC11	51061	Q21119747
1913	Q18039952	CALHM2	51063	Q21116957
1915	Q18039954	SSUH2	51066	Q21135707
1917	Q18039955	YARS2	51067	Q21101330
1918	Q18039958	MRPL2	51069	Q22679793
1923	Q18039966	TMX2	51075	Q21135810
1933	Q18039984	METTL25B	51093	Q21127118
1935	Q18039989	SCCPDH	51097	Q21127152
1937	Q18039990	IFT52	51098	Q21119153
1939	Q18039996	ZC2HC1A	51101	Q21114566
1941	Q18040000	ABHD17B	51104	Q21113651
1950	Q18040005	METTL9	51108	Q21104666
1955	Q18041642	RPRD1A	55197	Q21120571
1957	Q18041644	FAM86C1P	55199	Q21105986
1958	Q18041645	PLEKHG6	55200	Q21122002
1960	Q18041648	GOLPH3L	55204	Q21130656
1962	Q18041650	SBNO1	55206	Q21122748
1964	Q18041656	DCUN1D2	55208	Q21108525
1966	Q18041658	ATAD3A	55210	Q21116747
1968	Q18041659	DPPA4	55211	Q21113210
1970	Q18041662	P3H2	55214	Q21121810
1976	Q18041667	EXD2	55218	Q21112378
1982	Q18041670	LRRC20	55222	Q21122334
1984	Q18041673	TRIM62	55223	Q21124679
1990	Q18041675	RAVER2	55225	Q21126954
1992	Q18041677	LRRC1	55227	Q21114912
1994	Q18041681	CCDC87	55231	Q21113991
1996	Q18041685	VRTN	55237	Q21134252
1998	Q18041687	SLC38A7	55238	Q21125096
2000	Q18041696	PACC1	55248	Q21136410
2002	Q18041699	PCMTD2	55251	Q21123209
2003	Q18041702	TMEM39A	55254	Q21136413
2009	Q18041484	PHIP	55023	Q22680260
2013	Q18041487	HEATR3	55027	Q21113368
2015	Q18041488	C17orf80	55028	Q21100959
2017	Q18041489	FBXO34	55030	Q21204170
2019	Q18041491	SLC35A5	55032	Q21121294
2021	Q18041492	FKBP14	55033	Q21110280
2023	Q18041497	PTCD3	55037	Q21135199
2034	Q18041506	VPS37C	55048	Q21116313
2036	Q18041507	REX1BD	55049	Q21108458
2038	Q18041511	ZWILCH	55055	Q21124809
2039	Q18041512	CRYBG2	55057	Q21116447
2049	Q18041517	SPATA6L	55064	Q21122081
2051	Q18041518	SLC52A1	55065	Q21124463
2057	Q18041522	DET1	55070	Q21117477
2059	Q18041523	C9orf40	55071	Q21130054
2065	Q18041530	FEZF2	55079	Q21106107
2068	Q18041531	TAPBPL	55080	Q21126643
2070	Q18041534	KIF26B	55083	Q21119901
2075	Q18041543	GPATCH1	55094	Q21207406
2077	Q18041545	EBLN2	55096	Q21132624
