	title	page_length	last_touched	lastrevid	geneid	proteinID	wikilink	counts	pubcount	median_pub_year	max_pub_year	priority_score
527	ONECUT1	1352	2022-03-11T23:47:04Z	995336488	3175	Q21119118	https://en.wikipedia.org/wiki/ONECUT1	1	43	2008	2021	7.411806846999155
529	HSP90AA2	1359	2022-03-13T19:47:41Z	1032052553	3324	Q21118358	https://en.wikipedia.org/wiki/HSP90AA2	1	52	2013	2021	7.376923157784085
534	TIRAP	1371	2022-03-13T19:39:17Z	836205620	114609	Q21116674	https://en.wikipedia.org/wiki/TIRAP	1	148	2010	2022	7.346803167656559
530	ZBTB1	1368	2022-03-11T23:34:45Z	861105042	22890	Q21150226	https://en.wikipedia.org/wiki/ZBTB1	1	35	2015	2022	7.322441520467836
531	ZBTB1	1368	2022-03-11T23:34:45Z	861105042	22890	Q21170892	https://en.wikipedia.org/wiki/ZBTB1	1	35	2015	2022	7.322441520467836
536	RPL36AL	1375	2022-03-12T00:03:37Z	1024453309	6166	Q21133455	https://en.wikipedia.org/wiki/RPL36AL	1	55	2017	2022	7.29237012987013
539	APOA1BP	1381	2022-03-11T23:16:27Z	995422180	128240	Q22677715	https://en.wikipedia.org/wiki/APOA1BP	1	37	2015	2021	7.254343901934416
540	CCL14	1397	2022-03-13T19:36:18Z	723122945	6358	Q21113943	https://en.wikipedia.org/wiki/CCL14	1	41	2009	2021	7.172838991716945
549	PITPNB	1415	2022-03-11T23:05:32Z	994893654	23760	Q21124287	https://en.wikipedia.org/wiki/PITPNB	1	35	2011	2021	7.079637809187279
552	KCTD9	1432	2022-03-11T23:54:59Z	1068670611	54793	Q21106485	https://en.wikipedia.org/wiki/KCTD9	1	31	2016	2021	6.994311652035115
554	KRT75	1444	2022-03-13T19:52:18Z	1017709019	9119	Q21118505	https://en.wikipedia.org/wiki/KRT75	1	31	2013	2021	6.936279184804115
559	MRPS2	1454	2022-03-11T23:54:22Z	1002176633	51116	Q21135936	https://en.wikipedia.org/wiki/MRPS2	1	68	2017	2022	6.901864806445274
562	EVA1A	1464	2022-03-11T23:38:42Z	982948790	84141	Q21142271	https://en.wikipedia.org/wiki/EVA1A	1	31	2013	2021	6.841672521467603
561	EVA1A	1464	2022-03-11T23:38:42Z	982948790	84141	Q21118111	https://en.wikipedia.org/wiki/EVA1A	1	31	2013	2021	6.841672521467603
563	LEFTY2	1465	2022-03-11T23:47:09Z	1003715367	7044	Q21137095	https://en.wikipedia.org/wiki/LEFTY2	1	37	2010	2021	6.839152852267187
566	SAMD4B	1468	2022-03-12T00:03:37Z	995716632	55095	Q21148720	https://en.wikipedia.org/wiki/SAMD4B	1	37	2013	2021	6.825203386531724
565	SAMD4B	1468	2022-03-12T00:03:37Z	995716632	55095	Q21122817	https://en.wikipedia.org/wiki/SAMD4B	1	37	2013	2021	6.825203386531724
571	Collectin-10	1485	2022-03-11T23:00:12Z	1048000831	10584	Q21106859	https://en.wikipedia.org/wiki/Collectin-10	1	33	2015	2021	6.745792448292448
576	CRACR2A	1500	2022-03-11T23:50:05Z	995783993	84766	Q21116422	https://en.wikipedia.org/wiki/CRACR2A	1	31	2014	2021	6.677738095238095
577	NME1-NME2	1501	2022-03-11T23:05:01Z	1043636756	654364	Q22676635	https://en.wikipedia.org/wiki/NME1-NME2	1	33	2012	2021	6.674010897496906
586	FOXF2	1550	2022-03-12T00:08:13Z	1027229004	2295	Q21108594	https://en.wikipedia.org/wiki/FOXF2	1	50	2016	2021	6.469470046082949
590	KDM3A	1557	2022-03-11T23:47:01Z	1067798656	55818	Q21147189	https://en.wikipedia.org/wiki/KDM3A	1	104	2016	2021	6.4597504358198
589	KDM3A	1557	2022-03-11T23:47:01Z	1067798656	55818	Q21114823	https://en.wikipedia.org/wiki/KDM3A	1	104	2016	2021	6.4597504358198
592	Map44	1559	2022-03-13T20:04:57Z	951747020	5648	Q14905310	https://en.wikipedia.org/wiki/Map44	1	115	2012	2021	6.4554396133052325
599	PCID2	1598	2022-03-11T23:53:40Z	997843962	55795	Q21120644	https://en.wikipedia.org/wiki/PCID2	1	75	2015	2021	6.284607992133023
662	DEFA1B	1620	2022-03-11T23:22:36Z	1040768886	728358	Q21101058	https://en.wikipedia.org/wiki/DEFA1B	1	39	2005	2021	6.1867680776014105
670	TXNRD1	1640	2022-03-11T23:06:10Z	997217660	7296	Q21150742	https://en.wikipedia.org/wiki/TXNRD1	1	180	2013	2022	6.16184668989547
669	TXNRD1	1640	2022-03-11T23:06:10Z	997217660	7296	Q21106751	https://en.wikipedia.org/wiki/TXNRD1	1	180	2013	2022	6.16184668989547
665	STAC3	1630	2022-03-12T00:03:36Z	995190906	246329	Q21105429	https://en.wikipedia.org/wiki/STAC3	1	32	2015	2021	6.146397896581946
666	STAC3	1630	2022-03-12T00:03:36Z	995190906	246329	Q21137115	https://en.wikipedia.org/wiki/STAC3	1	32	2015	2021	6.146397896581946
