	QID	label	geneID	proteinID
2629	Q15325735	RAC1	5879	Q4047929
2636	Q15326052	RELA	5970	Q4047839
2641	Q15332826	AGTR1	185	Q2819188
2648	Q15333532	PTK2	5747	Q2744706
2656	Q17861955	CHRM3	1131	Q2844056
2663	Q17907809	CCR7	1236	Q3648596
2669	Q18026920	HLA-B	3106	Q3782045
2678	Q18028529	LGALS3	3958	Q3094567
2683	Q18028978	MDM2	4193	Q2639180
2696	Q18029088	SCGB2A2	4250	Q3459286
2702	Q18029442	MSN	4478	Q3860053
2711	Q18030231	DDR2	4921	Q4036865
2719	Q18031082	RDX	5962	Q3928887
2730	Q18031341	RYR2	6262	Q3415811
2736	Q18031607	SMO	6608	Q3271551
2745	Q18032920	BBOX1	8424	Q3266583
2754	Q18035058	NAMPT	10135	Q3311023
2764	Q18035545	POSTN	10631	Q3899926
2769	Q18036110	KERA	11081	Q4041979
2771	Q14905126	CLN3	1201	Q1500005
2775	Q14905238	AQP1	358	Q2083074
2784	Q14905545	MBD1	4152	Q1500001
2789	Q14905557	MYD88	4615	Q1500000
2797	Q14905595	PHOX2B	8929	Q658983
2803	Q14905630	CYP27A1	1593	Q1499996
2808	Q14905744	CACNA1C	775	Q1499998
2811	Q14905759	KCNJ2	3759	Q2004050
2817	Q14905770	KCNE1	3753	Q1500343
2822	Q14907110	ZAP70	7535	Q1998562
2828	Q14907137	FADD	8772	Q994646
2837	Q14907167	IL15	3600	Q919787
2852	Q14907199	IL16	3603	Q2058153
2861	Q14911006	APOH	350	Q648315
2867	Q14911279	CACNA1B	774	Q1947065
2869	Q14911519	PROM1	8842	Q1498674
2874	Q18033804	CLDN8	9073	Q21100777
2879	Q18033805	CLDN6	9074	Q21100776
2885	Q18034078	CYP7B1	9420	Q21100884
2887	Q18034519	CLCA2	9635	Q21100845
2892	Q18034996	COX17	10063	Q21100868
2898	Q18035304	CLEC4M	10332	Q21100841
2904	Q18035391	FAM3C	10447	Q21100942
2909	Q18035892	PGRMC1	10857	Q21100921
2912	Q18035996	CLP1	10978	Q21100801
2914	Q18036001	MAPRE2	10982	Q21100916
2919	Q18036499	CLCA4	22802	Q21100825
2922	Q18036949	CLCC1	23155	Q21100835
2927	Q18037166	CRB1	23418	Q21100964
2931	Q18037434	CLEC5A	23601	Q21100842
2939	Q18037664	CLDN15	24146	Q21100775
2942	Q18038218	CLDN17	26285	Q21100779
2947	Q18039588	TIMM21	29090	Q21100878
2949	Q18039805	CLDN20	49861	Q21100782
2954	Q18040098	CLDN18	51208	Q21100780
2960	Q18040117	COX16	51241	Q21100879
2962	Q18040430	CUTA	51596	Q21100994
2964	Q18040714	CLDN22	53842	Q21100786
2969	Q18041228	FBLIM1	54751	Q21100995
2977	Q18039811	DUOX2	50506	Q3040448
2980	Q18041048	SMOX	54498	Q3450524
2983	Q18050708	HGSNAT	138050	Q3726754
2991	Q18250377	ENG	2022	Q3054016
3000	Q18251749	JAG1	182	Q3780451
3008	Q18252685	NOTCH1	4851	Q4044985
3013	Q18253738	RGS4	5999	Q4047848
3021	Q18258912	HIBADH	11112	Q4042285
3030	Q20969980	KRAS	3845	Q4042017
3041	Q20970121	XIAP	331	Q3408221
3052	Q18036530	DOLK	22845	Q5289049
3057	Q18037595	CADM1	23705	Q5058171
3061	Q18038542	FETUB	26998	Q5445999
3066	Q18038797	POLL	27343	Q5205764
3071	Q18039909	DERL2	51009	Q5262654
3076	Q18040723	DUOX1	53905	Q5310226
3078	Q18042890	CYSLTR2	57105	Q5201199
3082	Q18043117	CGN	57530	Q5120918
