	geneID	proteinID	wikilink	counts
289	323	Q21139579	https://en.wikipedia.org/wiki/APBB2	1
290	324	Q21141697	https://en.wikipedia.org/wiki/Adenomatous_polyposis_coli	1
291	324	Q356062	https://en.wikipedia.org/wiki/Adenomatous_polyposis_coli	1
292	324	Q356062	https://en.wikipedia.org/wiki/Apc,_wnt_signaling_pathway_regulator	1
293	325	Q7455513	https://en.wikipedia.org/wiki/Serum_amyloid_P_component	1
294	326	Q2872459	https://en.wikipedia.org/wiki/Autoimmune_regulator	1
295	327	Q21116298	https://en.wikipedia.org/wiki/APEH_(gene)	1
296	327	Q21140266	https://en.wikipedia.org/wiki/APEH_(gene)	1
297	328	Q21137455	https://en.wikipedia.org/wiki/APEX1	1
298	329	Q21111704	https://en.wikipedia.org/wiki/Baculoviral_IAP_repeat-containing_protein_2	1
299	329	Q21111704	https://en.wikipedia.org/wiki/Cellular_Inhibitor_of_Apoptosis_Protein_1	1
300	329	Q21137430	https://en.wikipedia.org/wiki/Baculoviral_IAP_repeat-containing_protein_2	1
301	330	Q4840095	https://en.wikipedia.org/wiki/Baculoviral_IAP_repeat-containing_protein_3	1
302	331	Q3408221	https://en.wikipedia.org/wiki/XIAP	1
303	332	Q906904	https://en.wikipedia.org/wiki/Survivin	1
304	333	Q21116182	https://en.wikipedia.org/wiki/APLP1	1
305	333	Q21149178	https://en.wikipedia.org/wiki/APLP1	1
306	334	Q21116189	https://en.wikipedia.org/wiki/APLP2	1
307	335	Q1316030	https://en.wikipedia.org/wiki/Apolipoprotein_AI	1
308	336	Q21154572	https://en.wikipedia.org/wiki/Apolipoprotein_A-II	1
309	336	Q21154572	https://en.wikipedia.org/wiki/Apolipoprotein_A2	1
310	338	Q648343	https://en.wikipedia.org/wiki/Apolipoprotein_B	1
311	339	Q21104791	https://en.wikipedia.org/wiki/APOBEC1	1
312	341	Q1977297	https://en.wikipedia.org/wiki/Apolipoprotein_C-I	1
313	343	Q21106460	https://en.wikipedia.org/wiki/AQP8	1
314	344	Q21149260	https://en.wikipedia.org/wiki/Apolipoprotein_C-II	1
315	344	Q3445743	https://en.wikipedia.org/wiki/Apolipoprotein_C-II	1
316	345	Q4068038	https://en.wikipedia.org/wiki/Apolipoprotein_C-III	1
317	346	Q4068037	https://en.wikipedia.org/wiki/Apolipoprotein_C-IV	1
318	347	Q798252	https://en.wikipedia.org/wiki/Apolipoprotein_D	1
319	348	Q424728	https://en.wikipedia.org/wiki/Apolipoprotein_E	1
320	350	Q21140742	https://en.wikipedia.org/wiki/Apolipoprotein_H	1
321	350	Q648315	https://en.wikipedia.org/wiki/Apolipoprotein_H	1
322	351	Q423510	https://en.wikipedia.org/wiki/Amyloid-beta_precursor_protein	1
323	353	Q355965	https://en.wikipedia.org/wiki/Adenine_phosphoribosyltransferase	1
324	354	Q409450	https://en.wikipedia.org/wiki/Prostate-specific_antigen	1
325	355	Q1649375	https://en.wikipedia.org/wiki/Fas_receptor	1
326	356	Q3067052	https://en.wikipedia.org/wiki/Fas_ligand	1
327	357	Q21109023	https://en.wikipedia.org/wiki/Shroom_family_member_2	1
328	358	Q2083074	https://en.wikipedia.org/wiki/Aquaporin_1	1
329	358	Q21141685	https://en.wikipedia.org/wiki/Aquaporin_1	1
330	358	Q21149578	https://en.wikipedia.org/wiki/Aquaporin_1	1
331	359	Q2045854	https://en.wikipedia.org/wiki/Aquaporin_2	1
332	360	Q9626712	https://en.wikipedia.org/wiki/Aquaporin_3	1
333	361	Q21117937	https://en.wikipedia.org/wiki/Aquaporin_4	1
334	361	Q3820749	https://en.wikipedia.org/wiki/Aquaporin_4	1
335	362	Q21106470	https://en.wikipedia.org/wiki/AQP5	1
336	363	Q21106475	https://en.wikipedia.org/wiki/AQP6	1
337	364	Q21106436	https://en.wikipedia.org/wiki/AQP7	1
338	366	Q21106448	https://en.wikipedia.org/wiki/AQP9	1
339	367	Q416601	https://en.wikipedia.org/wiki/Androgen_receptor	1
340	368	Q4650080	https://en.wikipedia.org/wiki/ABCC6	1
341	369	Q21105368	https://en.wikipedia.org/wiki/ARAF	1
342	369	Q21109211	https://en.wikipedia.org/wiki/ARAF	1
343	372	Q21132957	https://en.wikipedia.org/wiki/Archain_1	1
344	373	Q21115093	https://en.wikipedia.org/wiki/TRIM23	1
345	374	Q4748347	https://en.wikipedia.org/wiki/Amphiregulin	1
346	375	Q21201413	https://en.wikipedia.org/wiki/ARF1	1
347	377	Q21154932	https://en.wikipedia.org/wiki/ARF3	1
348	378	Q21154930	https://en.wikipedia.org/wiki/ARF4	1
349	379	Q21097424	https://en.wikipedia.org/wiki/ARL4D	1
350	381	Q21131106	https://en.wikipedia.org/wiki/ARF5	1
351	382	Q4653665	https://en.wikipedia.org/wiki/ARF6	1
352	383	Q21101888	https://en.wikipedia.org/wiki/ARG1_(gene)	1
353	384	Q21101890	https://en.wikipedia.org/wiki/ARG2	1
354	387	Q21117571	https://en.wikipedia.org/wiki/Transforming_protein_RhoA	1
355	387	Q7276719	https://en.wikipedia.org/wiki/Transforming_protein_RhoA	1
356	388	Q7276721	https://en.wikipedia.org/wiki/RHOB	1
357	389	Q21105948	https://en.wikipedia.org/wiki/RhoC	1
358	389	Q21150872	https://en.wikipedia.org/wiki/RhoC	1
359	390	Q21109280	https://en.wikipedia.org/wiki/Rnd3	1
360	391	Q21114381	https://en.wikipedia.org/wiki/RhoG	1
