	QID	label	geneID	proteinID
807	Q18028853	MAN2B1	4125	Q21121644
809	Q18028888	MAT1A	4143	Q21118727
811	Q18028891	MAT2A	4144	Q21132713
813	Q18028993	MEA1	4201	Q21130685
815	Q18029059	MFAP3	4238	Q21121670
816	Q18029059	MFAP3	4238	Q21141778
819	Q18029061	MFAP4	4239	Q21121672
821	Q18029158	MLN	4295	Q21120857
823	Q18029240	MOBP	4336	Q21133449
824	Q18029240	MOBP	4336	Q21146152
825	Q18029240	MOBP	4336	Q21149265
829	Q18029258	MPI	4351	Q21119485
830	Q18029258	MPI	4351	Q21151037
833	Q18029269	MPP3	4356	Q21108949
835	Q14865870	APP	351	Q423510
836	Q14873931	NGF	4803	Q417782
837	Q14875891	CXCL8	3576	Q421859
838	Q14876086	MTOR	2475	Q285613
839	Q14876140	MBP	4155	Q410974
840	Q14876140	MBP	4155	Q21147675
843	Q14876222	MOG	4340	Q6947292
844	Q14880373	CD44	960	Q1056532
845	Q14880373	CD44	960	Q21139081
846	Q14882338	FMR1	2332	Q905435
847	Q14882517	HTT	3064	Q2620886
848	Q14886374	GLA	2717	Q288705
849	Q14887306	SLC2A4	6517	Q419973
850	Q14888529	HDC	3067	Q421869
851	Q14890468	APOE	348	Q424728
852	Q18038516	OPLAH	26873	Q22680312
854	Q18038517	SMR3A	26952	Q21123435
856	Q18038519	RANBP6	26953	Q21123837
857	Q18038519	RANBP6	26953	Q21147102
860	Q18038524	NBEA	26960	Q21173700
862	Q18038526	CHORDC1	26973	Q21106769
864	Q18038527	ZNF285	26974	Q21174455
866	Q18038539	TRUB2	26995	Q21125494
868	Q18038548	USP21	27005	Q21118568
869	Q18038549	FGF22	27006	Q21154398
870	Q18038552	CNPPD1	27013	Q21108421
872	Q18038568	TRMT2A	27037	Q21122872
873	Q18038568	TRMT2A	27037	Q21143934
874	Q18038571	UTP25	27042	Q21132589
876	Q18038572	PELP1	27043	Q21130793
878	Q18038578	PPA2	27068	Q21107733
879	Q18038578	PPA2	27068	Q21143315
882	Q18038581	VPS41	27072	Q21122712
883	Q18038581	VPS41	27072	Q21140683
886	Q18038587	B9D1	27077	Q21112799
888	Q18038588	RPUSD2	27079	Q21122039
890	Q18038590	MTBP	27085	Q21120066
892	Q18038597	CACNG5	27091	Q21113996
894	Q18038605	CLUL1	27098	Q21130060
895	Q18038605	CLUL1	27098	Q21140327
898	Q18033950	MFHAS1	9258	Q21110598
900	Q18033953	STK17B	9262	Q21122132
901	Q18033953	STK17B	9262	Q21139286
902	Q18033960	BCL7C	9274	Q21113898
903	Q18033961	BCL7B	9275	Q21113900
904	Q18033964	ZBTB22	9278	Q21112418
905	Q18033964	ZBTB22	9278	Q21141042
908	Q18033967	NPIPA1	9284	Q21121737
910	Q18033989	ZNF235	9310	Q21174450
912	Q18033995	PTER	9317	Q21135198
914	Q18034003	ZNHIT3	9326	Q21119614
916	Q18034006	GTF3C3	9330	Q21118273
917	Q18034006	GTF3C3	9330	Q21148566
920	Q18034007	B4GALT6	9331	Q21112797
921	Q18034007	B4GALT6	9331	Q21150846
922	Q18034010	TGM5	9333	Q21122196
924	Q18034033	RAB28	9364	Q21135211
925	Q18034033	RAB28	9364	Q21141550
928	Q14911253	CACNA1E	777	Q7273289
929	Q14905074	NR1I2	8856	Q409867
931	Q14905542	HBB	3043	Q424422
932	Q14905635	IDS	3423	Q10814203
933	Q14905635	IDS	3423	Q21148821
936	Q14906920	EMD	2010	Q905741
938	Q14907096	LOX	4015	Q419389
939	Q14907561	DBH	1621	Q415762
941	Q18034055	SLC22A14	9389	Q21135952
943	Q18034058	TGFBRAP1	9392	Q21159922
945	Q18034059	HS6ST1	9394	Q21107556
946	Q18034073	FAM189A2	9413	Q21110230
947	Q18034073	FAM189A2	9413	Q21117598
950	Q18034084	CDYL	9425	Q21204412
952	Q18034085	CDY2A	9426	Q21117173
953	Q18034205	LY86	9450	Q21173793
955	Q18034308	CHST3	9469	Q5104531
956	Q18034318	ONECUT2	9480	Q21119627
958	Q18034322	PIGL	9487	Q21123756
959	Q18034322	PIGL	9487	Q21150845
962	Q18034324	PGS1	9489	Q21125819
963	Q18034324	PGS1	9489	Q21145059
964	Q18034334	XAGE2	9502	Q21114630
966	Q18034335	PAGE4	9506	Q21121818
968	Q18034342	STXBP5L	9515	Q21135704
969	Q18034342	STXBP5L	9515	Q21147202
972	Q18034359	ZNF254	9534	Q21174438
974	Q18034360	GMFG	9535	Q21114621
976	Q18034368	IGDCC3	9543	Q21132845
977	Q18034368	IGDCC3	9543	Q21138669
980	Q18034378	ATP5MJ	9556	Q21150365
982	Q18034410	PDIA4	9601	Q21123211
984	Q18034414	CARTPT	9607	Q21112934
986	Q18034486	GUCA1C	9626	Q21119031
